,city id,city,country,lat,lon,cloudiness %,humidity %,max temp (F),wind speed (mph),date
73,1625929,Sungai Penuh,ID,-2.0833,101.3833,100,74,74.55,0.38,1619406549
74,2038446,Baoqing,CN,46.3317,132.2111,66,21,57.07,4.85,1619406318
75,2074865,Carnarvon,AU,-24.8667,113.6333,1,22,89.6,6.91,1619406549
76,777019,Vardø,NO,70.3705,31.1107,75,74,28.4,11.5,1619406550
77,1054329,Vangaindrano,MG,-23.35,47.6,53,91,69.85,1.61,1619406550
78,3874787,Punta Arenas,CL,-53.15,-70.9167,90,93,44.6,5.75,1619406551
79,545272,Konstantinovskiy,RU,57.8301,39.5899,90,81,37.4,17.9,1619406551
80,2022572,Khatanga,RU,71.9667,102.5,100,88,15.85,16.13,1619406552
81,2163355,Hobart,AU,-42.8794,147.3294,20,45,66.2,19.57,1619406541
82,2065594,Mount Isa,AU,-20.7333,139.5,86,35,87.8,13.8,1619406286
83,1786538,Yining,CN,29.0361,114.5636,96,82,66.43,0.58,1619406552
84,2640377,Penzance,GB,50.1186,-5.5371,40,81,46.4,23.6,1619406553
85,3421193,Paamiut,GL,61.994,-49.6678,100,98,35.19,4.9,1619406553
86,556268,Ostrovnoy,RU,68.0531,39.5131,100,95,31.44,23.13,1619406274
87,5557293,Sitka,US,57.0531,-135.33,1,47,55.4,5.75,1619406554
88,3466165,Cidreira,BR,-30.1811,-50.2056,81,62,65.34,13.15,1619406554
89,2234794,Banyo,CM,6.75,11.8167,74,79,66.87,1.9,1619406555
90,3893726,Constitución,CL,-35.3333,-72.4167,0,78,56.61,9.44,1619406555
91,5866583,Saint Paul Harbor,US,57.79,-152.4072,20,76,44.6,10.36,1619406555
92,2136825,Isangel,VU,-19.55,169.2667,86,79,78.93,11.86,1619406556
93,1267390,Kavaratti,IN,10.5669,72.642,22,73,84.0,6.76,1619406556
94,546105,Nikolskoye,RU,59.7035,30.7861,90,93,39.0,11.18,1619406557
95,174448,Abu Kamal,SY,34.4506,40.9171,92,27,78.98,7.49,1619406557
96,4034551,Faanui,PF,-16.4833,-151.75,18,63,81.55,2.42,1619406557
97,3387130,Sumé,BR,-7.6717,-36.88,4,94,68.97,6.13,1619406558
98,1627877,Sembakung,ID,3.8167,117.25,75,83,82.4,5.75,1619406558
99,4020109,Atuona,PF,-9.8,-139.0333,64,76,80.01,16.78,1619406559
100,2338660,Yaan,NG,7.3833,8.5667,100,79,76.24,5.5,1619406559
101,888710,Kwekwe,ZW,-18.9281,29.8149,22,52,59.97,4.0,1619406560
102,2123814,Leningradskiy,RU,69.3833,178.4167,100,84,29.62,1.81,1619406560
103,6167817,Torbay,CA,47.6666,-52.7314,1,65,41.0,11.5,1619406295
104,2013918,Ust-Maya,RU,60.4167,134.5333,100,97,35.78,4.97,1619406561
105,2181625,Te Anau,NZ,-45.4167,167.7167,97,81,47.52,7.0,1619406561
106,5354943,Half Moon Bay,US,37.4636,-122.4286,1,87,54.0,6.91,1619406561
107,2294915,Takoradze,GH,4.8845,-1.7554,100,86,79.48,5.53,1619406562
108,5855927,Hilo,US,19.7297,-155.09,90,78,73.4,3.44,1619406375
109,4895282,Harvard,US,42.4222,-88.6137,96,69,37.99,9.31,1619406562
110,2017155,Saskylakh,RU,71.9167,114.0833,100,90,14.61,22.44,1619406357
111,4035715,Avarua,CK,-21.2078,-159.775,20,74,82.4,9.22,1619406563
112,2025256,Chumikan,RU,54.7183,135.315,88,71,41.52,9.33,1619406564
113,359792,Aswān,EG,24.0934,32.907,0,23,79.77,12.86,1619406564
114,1799686,Tongzi,CN,28.7829,105.0877,98,73,64.92,3.74,1619406564
115,2300883,Foso,GH,5.7012,-1.2866,95,94,74.91,2.77,1619406565
116,3575660,Pointe Michel,DM,15.25,-61.3833,14,71,77.9,11.3,1619406565
117,1651810,Airai,TL,-8.9266,125.4092,47,39,73.2,2.91,1619406566
118,371466,Leer,SS,8.3018,30.1418,100,82,75.97,2.91,1619406566
119,371745,Kutum,SD,14.2,24.6667,34,14,73.65,10.8,1619406566
120,2023333,Kachug,RU,53.9606,105.8817,100,59,38.71,14.23,1619406567
121,4734350,Stephenville,US,32.2207,-98.2023,1,53,73.4,10.36,1619406483
122,3598787,Champerico,GT,14.3,-91.9167,83,96,70.0,4.25,1619406568
123,986717,Kruisfontein,ZA,-34.0033,24.7314,100,61,64.02,4.43,1619406568
124,3418910,Upernavik,GL,72.7868,-56.1549,46,79,26.22,5.1,1619406569
125,2381334,Atar,MR,20.5169,-13.0499,0,21,76.6,5.61,1619406569
126,1028918,Pemba,MZ,-12.974,40.5178,75,94,73.4,8.05,1619406428
127,6067472,Marystown,CA,47.1666,-55.1483,92,82,38.32,6.55,1619406386
128,6165406,Thompson,CA,55.7435,-97.8558,90,100,30.2,2.21,1619406570
129,4013679,Coahuayana Viejo,MX,18.7333,-103.6833,81,87,72.77,0.98,1619406570
130,2033602,Xiuyan,CN,40.2928,123.2744,100,25,67.17,9.71,1619406570
131,3178605,Cividale del Friuli,IT,46.0931,13.4275,100,60,57.0,10.0,1619406571
132,1803245,Lishui,CN,28.4604,119.9103,62,58,73.94,3.27,1619406571
133,3837702,San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,0,87,57.0,1.99,1619406572
134,5870133,Nome,US,64.5011,-165.4064,1,57,46.4,4.61,1619406573
135,3423146,Ilulissat,GL,69.2167,-51.1,75,46,46.4,24.16,1619406574
136,3355672,Lüderitz,NA,-26.6481,15.1594,95,90,61.65,3.8,1619406575
137,2729907,Longyearbyen,SJ,78.2186,15.6401,20,73,12.2,5.75,1619406575
138,3984997,San Quintín,MX,30.4833,-115.95,34,80,57.6,9.51,1619406576
139,2090021,Namatanai,PG,-3.6667,152.4333,100,69,83.64,4.0,1619406576
140,3985710,Cabo San Lucas,MX,22.8909,-109.9124,90,40,75.0,11.5,1619406335
141,2633274,Akureyri,IS,65.6835,-18.0878,90,87,35.6,8.05,1619406577
142,2155415,New Norfolk,AU,-42.7826,147.0587,20,45,66.2,19.57,1619406577
143,946058,Mthatha,ZA,-31.5889,28.7844,87,36,58.32,4.7,1619406578
144,3374083,Bathsheba,BB,13.2167,-59.5167,40,61,78.8,16.11,1619406578
145,2121385,Severo-Kuril'sk,RU,50.6789,156.125,100,97,31.93,14.47,1619406578
146,523392,Naryan-Mar,RU,67.6713,53.087,100,94,37.38,6.15,1619406579
147,1177098,Harnai,PK,30.1005,67.9374,0,19,82.42,0.34,1619406579
148,1252942,Wardha,IN,20.75,78.6167,40,20,87.8,3.44,1619406579
149,2112309,Katsuura,JP,35.1333,140.3,20,30,62.01,9.22,1619406375
150,1507390,Dikson,RU,73.5069,80.5464,100,93,18.45,18.61,1619406580
151,1529102,Ürümqi,CN,43.801,87.6005,0,20,50.0,2.24,1619406580
152,5367788,Lompoc,US,34.6391,-120.4579,100,82,53.6,6.91,1619406581
153,3183284,Alghero,IT,40.5589,8.3181,70,87,51.8,1.14,1619406581
154,1052944,Angoche,MZ,-16.2325,39.9086,83,92,73.31,3.29,1619406582
155,6323121,Florianópolis,BR,-27.6146,-48.5012,75,83,69.8,6.91,1619406358
156,1259385,Port Blair,IN,11.6667,92.75,40,84,84.2,2.3,1619406582
157,2522091,Alcúdia,ES,39.8532,3.1214,20,82,61.0,13.8,1619406583
158,3462315,Governador Valadares,BR,-18.8511,-41.9494,60,76,72.28,0.83,1619406583
159,2136150,Luganville,VU,-15.5333,167.1667,62,77,83.39,6.11,1619406584
160,3421719,Narsaq,GL,60.9167,-46.05,75,32,50.0,31.07,1619406584
161,110690,Faya,SA,18.3851,42.4509,40,67,60.8,7.4,1619406369
162,6170031,Tuktoyaktuk,CA,69.4541,-133.0374,90,79,12.2,11.5,1619406584
163,6096551,Pangnirtung,CA,66.1451,-65.7125,98,81,30.88,6.49,1619406585
164,2460954,Araouane,ML,18.9048,-3.5265,11,15,86.81,5.28,1619406585
165,4726206,San Antonio,US,29.4241,-98.4936,1,57,77.0,17.27,1619406320
166,1510030,Biskamzha,RU,53.4497,89.5272,96,78,38.35,1.5,1619406586
167,2027296,Aykhal,RU,66.0,111.5,100,90,9.75,31.36,1619406586
168,5697939,North Platte,US,41.1239,-100.7654,1,44,66.99,9.22,1619406418
169,3832899,Viedma,AR,-40.8135,-62.9967,31,76,54.41,10.31,1619406587
170,4705086,Lamar,US,33.6668,-95.5836,1,68,66.2,10.36,1619406587
171,3984078,Santa María del Oro,MX,25.9333,-105.3667,100,12,70.21,14.38,1619406587
172,116406,Semīrom,IR,31.4167,51.5667,100,44,55.13,1.9,1619406588
173,1819729,Hong Kong,HK,22.2855,114.1577,100,79,75.0,3.0,1619406546
174,3454005,Piaçabuçu,BR,-10.4056,-36.4344,19,85,77.05,5.7,1619406588
175,2264557,Ponta do Sol,PT,32.6667,-17.1,47,83,59.0,1.99,1619406320
176,2094342,Kavieng,PG,-2.5744,150.7967,94,66,84.22,2.59,1619406589
177,6690296,Saint-Joseph,RE,-21.3667,55.6167,0,65,77.0,13.8,1619406589
178,2063036,Port Lincoln,AU,-34.7333,135.8667,1,63,66.13,7.65,1619406590
179,2021644,Posyet,RU,42.6508,130.8046,80,49,49.26,11.61,1619406590
180,1798634,Pingyi,CN,35.5006,117.6308,100,94,53.2,2.28,1619406312
181,1224061,Wattegama,LK,6.7989,81.4808,20,100,80.6,2.3,1619406591
182,5962442,Goderich,CA,43.7501,-81.7165,10,69,32.0,10.36,1619406591
183,3416888,Grindavik,IS,63.8424,-22.4338,0,93,37.4,12.66,1619406592
184,6943488,Causapscal,CA,48.3542,-67.227,100,87,39.29,11.65,1619406592
185,1649150,Bengkulu,ID,-3.8004,102.2655,42,67,84.22,4.88,1619406364
186,2522325,Agüimes,ES,27.9054,-15.4461,75,72,64.4,4.03,1619406593
187,524299,Murmashi,RU,68.8154,32.8115,75,93,30.2,6.71,1619406593
188,5919850,Chapais,CA,49.7834,-74.8492,90,93,24.8,13.8,1619406593
189,779622,Havøysund,NO,70.9963,24.6622,75,93,32.0,1.14,1619406594
190,3687972,Calamar,CO,10.2511,-74.9146,75,100,75.2,9.22,1619406594
191,2171099,Codrington,AU,-38.2667,141.9667,100,66,60.8,10.33,1619406595
192,3474574,Palmas,BR,-10.2128,-48.3603,75,100,71.6,3.44,1619406595
193,2976697,Saint-Vallier,FR,46.6411,4.3711,0,58,53.6,3.44,1619406596
194,1106677,Bambous Virieux,MU,-20.3428,57.7575,75,88,77.0,14.97,1619406596
195,2037346,Fuxin,CN,42.0156,121.6589,83,12,68.74,13.62,1619406596
196,5911745,Burns Lake,CA,54.2331,-125.7533,14,17,53.6,2.3,1619406597
197,934322,Mahébourg,MU,-20.4081,57.7,75,88,77.0,14.97,1619406597
